"sample","input","filtered","denoised.fwd","denoised.rev","merged","ChimeraFiltered"
"P03_01_A",7485,3607,3205,3139,2695,2695
"P03_01_B",25724,12687,12051,12006,11296,11296
"P03_01_C",24048,10823,9871,9891,8554,8554
"P03_01_D",26749,11671,10889,10854,9222,9222
"P03_01_E",46469,24711,23549,23679,21877,21877
"P03_01_G",19670,10425,9619,9724,8524,8334
"P03_01_H",12040,6199,5365,5405,4598,4598
"P03_02_A",19159,9266,8840,8828,8145,7926
"P03_02_C",19577,9453,8706,8738,7905,7793
"P03_02_D",29172,14141,13219,13276,12135,12135
"P03_02_E",44385,23994,22732,22803,20657,20657
"P03_02_F",39323,20332,19119,19253,17327,17280
"P03_02_G",26715,14215,13247,13348,12467,12345
"P03_02_H",24389,13039,12357,12342,11387,11387
"P03_03_A",15076,7386,6713,6736,5837,5837
"P03_03_C",21704,10197,9525,9504,8604,8604
"P03_03_D",25717,11560,10894,10940,9918,9918
"P03_03_E",31265,16736,15978,16019,14950,14834
"P03_03_F",27228,14386,13565,13696,12415,12279
"P03_03_G",17034,8935,8223,8294,7352,7352
"P03_03_H",21496,11337,10571,10629,9680,9621
"P03_04_A",12861,6048,5375,5450,4860,4860
"P03_04_C",19374,8910,8315,8253,7468,7468
"P03_04_D",24600,12361,11646,11643,10435,10435
"P03_04_E",40893,22021,21030,21190,19894,19894
"P03_04_F",33140,17997,16769,16847,15010,14940
"P03_04_G",28301,15161,14428,14506,13203,12829
"P03_04_H",13651,7375,6751,6790,6092,6092
"P03_05_A",16169,7635,7060,6972,5980,5980
"P03_05_C",22452,10721,9837,9885,8659,8659
"P03_05_D",24851,11847,11103,11075,9897,9897
"P03_05_E",31031,16545,15642,15769,14633,14423
"P03_05_F",27525,14428,13496,13676,12526,12472
"P03_05_G",19623,10635,9814,9911,8783,8722
"P03_05_H",15577,8335,7629,7677,6994,6994
"P03_06_A",18045,8759,8156,8139,7526,7526
"P03_06_C",21401,10106,9090,9110,8015,8015
"P03_06_D",23748,11509,10945,10894,10335,10335
"P03_06_E",24255,12655,11729,11772,10685,10685
"P03_06_F",30730,16702,16004,16076,14939,14592
"P03_06_G",24581,13242,12544,12693,11624,11588
"P03_06_H",14947,7890,7084,7192,6365,6365
"P03_07_A",30684,16430,15455,15533,13998,13998
"P03_07_B",31720,16694,15931,15946,14897,14897
"P03_07_C",25340,13335,12412,12565,11499,11499
"P03_07_D",28318,14841,13939,13989,12581,12581
"P03_07_E",27007,10745,9728,9558,8034,8034
"P03_07_F",22285,6789,6017,5848,4275,4275
"P03_07_G",21673,7114,6724,6506,5528,5528
"P03_07_H",15449,3505,3044,2756,2025,2025
"P03_08_A",18905,10037,9186,9306,8025,8025
"P03_08_B",27333,14282,13496,13504,12411,12291
"P03_08_C",33019,17410,16425,16435,15069,15069
"P03_08_D",33703,17865,16869,17050,15635,15635
"P03_08_E",28815,11306,10251,10181,8407,8407
"P03_08_F",30402,6997,6252,5977,4694,4694
"P03_08_G",18828,6205,5426,5267,4450,4450
"P03_08_H",15549,4848,4377,4135,3408,3408
"P03_09_B",28886,15256,14334,14428,13100,13016
"P03_09_C",25063,13286,12341,12412,11132,11132
"P03_09_D",33907,17548,16439,16554,14926,14872
"P03_09_E",27553,10164,9367,9226,7765,7765
"P03_09_F",30395,11368,10657,10479,9336,9336
"P03_09_G",12960,3675,3233,3064,2370,2370
"P03_09_H",12281,2941,2452,2226,1777,1777
"P03_10_A",20384,10975,10281,10325,9251,9251
"P03_10_B",28286,15050,14373,14351,13466,13251
"P03_10_C",26422,13964,12784,12929,11448,11448
"P03_10_D",21643,11382,10434,10572,9557,9557
"P03_10_E",28825,10920,10064,9849,8946,8946
"P03_10_F",20315,6302,5578,5269,4179,4179
"P03_10_G",12581,3968,3395,3186,2401,2401
"P03_10_H",11656,4612,4082,3947,3323,3323
"P03_11_A",18157,9517,8849,8910,8156,8156
"P03_11_B",15395,8534,7958,7971,7158,7158
"P03_11_C",24454,13139,12307,12406,11364,11364
"P03_11_D",24426,12912,11906,12043,11121,11121
"P03_11_E",23144,6387,5894,5721,4794,4794
"P03_11_F",27473,10231,9484,9380,8661,8661
"P03_11_G",22390,8044,7465,7362,6396,6396
"P03_11_H",12646,4275,3764,3763,2803,2803
"P03_12_A",17069,9093,8535,8601,7817,7798
"P03_12_B",21666,11697,11075,11109,10379,10332
"P03_12_C",18527,9390,9054,9052,8597,8597
"P03_12_D",21117,10316,9906,9989,9315,9315
"P03_12_E",23486,9207,8629,8503,7439,7439
"P03_12_F",26209,11637,10886,10776,9776,9776
"P03_12_G",41,13,1,3,0,0
"P03_12_H",661,246,228,212,155,155
"P04_11_A",3582,1813,1659,1689,1454,1454
"P04_11_C",14304,7784,7285,7323,6651,6651
"P04_11_D",5298,2612,2380,2433,2065,2065
"P04_11_F",9251,5134,4778,4825,4342,4316
"P04_11_G",8492,4516,4209,4267,3999,3999
"P04_11_H",4601,2450,2258,2274,2135,2135
"P04_12_A",9614,4776,4527,4511,4349,4349
"P04_12_B",9470,5128,4866,4903,4604,4604
"P04_12_C",3192,1548,1388,1396,1260,1260
"P04_12_D",8063,4247,3945,3977,3564,3564
"P04_12_E",7995,4302,4009,3982,3729,3729
"P04_12_F",12573,6734,6420,6479,6124,6124
"P04_12_G",7624,4019,3778,3811,3618,3618
"P04_12_H",5011,2702,2468,2509,2331,2331
"P05_01_A",6917,3645,3326,3369,3136,3136
"P05_01_B",6047,3159,2934,2953,2587,2587
"P05_01_C",1000,423,376,370,338,338
"P05_01_D",719,285,247,236,216,216
"P05_01_E",759,377,309,314,279,279
"P05_01_F",5563,2737,2624,2607,2448,2448
"P05_01_G",432,194,144,135,105,105
"P05_01_H",3641,1531,1428,1438,1264,1264
"P05_02_A",37,17,1,3,0,0
"P05_02_B",169,71,41,41,37,37
"P05_02_C",60,32,10,13,10,10
"P05_02_D",2429,1080,975,967,842,842
"P05_02_E",711,364,326,327,322,322
"P05_02_F",3851,1863,1687,1678,1555,1555
"P05_02_G",20300,10899,10322,10453,9646,9618
"P05_03_A",9131,4783,4312,4354,3770,3770
"P05_03_C",5650,2839,2434,2482,1990,1990
"P05_03_D",13215,6803,6262,6238,5416,5416
"P05_03_E",13245,7058,6450,6574,5773,5744
"P05_03_F",12461,6601,6051,6116,5494,5494
"P05_03_G",12548,6645,6051,6125,5305,5305
"P05_03_H",11044,5768,5232,5218,4572,4572
"P05_04_A",543,275,248,250,231,231
"P05_04_B",7151,3680,3150,3194,2743,2743
"P05_04_C",7022,3616,3177,3245,2778,2778
